Year,Country,Winner,Runners-Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance,Captain,Golden Shoe
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590.549,Manuel FERREIRA,Guillermo Stabile
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,363,Giampiero COMBI,Oldrich Nejedly
1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,375.7,Gyorgy SAROSI,Leonidas
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,1.045.246,Obdulio VARELA,Ademir
1954,Switzerland,Germany FR,Hungary,Austria,Uruguay,140,16,26,768.607,Fritz WALTER,Sandor Kocsis
1958,Sweden,Brazil,Sweden,France,Germany FR,126,16,35,819.81,BELLINI,Just Fontaine
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,893.172,MAURO RAMOS," Florian Albert, Valentin Ivanov, Garrincha, Vava, Drazan Jerkovic, Leonel Sanchez"
1966,England,England,Germany FR,Portugal,Soviet Union,89,16,32,1.563.135,Bobby MOORE,Eusebio
1970,Mexico,Brazil,Italy,Germany FR,Uruguay,95,16,32,1.603.975,CARLOS ALBERTO,Gerd Muller
1974,Germany,Germany FR,Netherlands,Poland,Brazil,97,16,38,1.865.753,Franz BECKENBAUER,Grzegorz Lato
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,1.545.791,Daniel PASSARELLA,Mario Kempes
1982,Spain,Italy,Germany FR,Poland,France,146,24,52,2.109.723,Dino ZOFF,Paolo Rossi
1986,Mexico,Argentina,Germany FR,France,Belgium,132,24,52,2.394.031,Diego MARADONA,Gary Lineker
1990,Italy,Germany FR,Argentina,Italy,England,115,24,52,2.516.215,Lothar MATTHAEUS,Salvatore Schillaci
1994,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,3.587.538,DUNGA,"Oleg Salenko, Hristo Stoichkov"
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,2.785.100,Didier DESCHAMPS,Davor Suker
2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,161,32,64,2.705.197,CAFU,Ronaldo
2006,Germany,Italy,France,Germany,Portugal,147,32,64,3.359.439,Zinedine ZIDANE,Miroslav Klose
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,3.178.856,CASILLAS,Thomas Muller
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,3.386.810,LAHM,James Rodriguez
,,,,,,,,,,,
,,,,,,,,,,,
1930,[],,,,,,,,,,
